Écarté: OG0040645.fa (1 séquences, 1 espèces)
Écarté: OG0024162.fa (2 séquences, 1 espèces)
Écarté: OG0034049.fa (1 séquences, 1 espèces)
Écarté: OG0057128.fa (1 séquences, 1 espèces)
Écarté: OG0053403.fa (1 séquences, 1 espèces)
Écarté: OG0010645.fa (13 séquences, 2 espèces)
Écarté: OG0036663.fa (1 séquences, 1 espèces)
Écarté: OG0034173.fa (1 séquences, 1 espèces)
Écarté: OG0042529.fa (1 séquences, 1 espèces)
Écarté: OG0039334.fa (1 séquences, 1 espèces)
Écarté: OG0055494.fa (1 séquences, 1 espèces)
Écarté: OG0059831.fa (1 séquences, 1 espèces)
Écarté: OG0021185.fa (2 séquences, 1 espèces)
Écarté: OG0046459.fa (1 séquences, 1 espèces)
Écarté: OG0073195.fa (1 séquences, 1 espèces)
Écarté: OG0004685.fa (42 séquences, 17 espèces)
Écarté: OG0032466.fa (1 séquences, 1 espèces)
Écarté: OG0046466.fa (1 séquences, 1 espèces)
Écarté: OG0037404.fa (1 séquences, 1 espèces)
Écarté: OG0021605.fa (2 séquences, 2 espèces)
Écarté: OG0056827.fa (1 séquences, 1 espèces)
Écarté: OG0021308.fa (2 séquences, 1 espèces)
Écarté: OG0013939.fa (5 séquences, 3 espèces)
Écarté: OG0046779.fa (1 séquences, 1 espèces)
Écarté: OG0015104.fa (4 séquences, 1 espèces)
Écarté: OG0052048.fa (1 séquences, 1 espèces)
Écarté: OG0011826.fa (8 séquences, 5 espèces)
Écarté: OG0038032.fa (1 séquences, 1 espèces)
Écarté: OG0066479.fa (1 séquences, 1 espèces)
Écarté: OG0042015.fa (1 séquences, 1 espèces)
Écarté: OG0034937.fa (1 séquences, 1 espèces)
Écarté: OG0054775.fa (1 séquences, 1 espèces)
Écarté: OG0054478.fa (1 séquences, 1 espèces)
Écarté: OG0066719.fa (1 séquences, 1 espèces)
Écarté: OG0022758.fa (2 séquences, 1 espèces)
Écarté: OG0067226.fa (1 séquences, 1 espèces)
Écarté: OG0050252.fa (1 séquences, 1 espèces)
Écarté: OG0030741.fa (1 séquences, 1 espèces)
Écarté: OG0023278.fa (2 séquences, 1 espèces)
Écarté: OG0062513.fa (1 séquences, 1 espèces)
Écarté: OG0047684.fa (1 séquences, 1 espèces)
Écarté: OG0058280.fa (1 séquences, 1 espèces)
Écarté: OG0054370.fa (1 séquences, 1 espèces)
Écarté: OG0065627.fa (1 séquences, 1 espèces)
Écarté: OG0060579.fa (1 séquences, 1 espèces)
Écarté: OG0024208.fa (2 séquences, 1 espèces)
Écarté: OG0034252.fa (1 séquences, 1 espèces)
Écarté: OG0040710.fa (1 séquences, 1 espèces)
Écarté: OG0040791.fa (1 séquences, 1 espèces)
Écarté: OG0062387.fa (1 séquences, 1 espèces)
Écarté: OG0068467.fa (1 séquences, 1 espèces)
Écarté: OG0017077.fa (3 séquences, 1 espèces)
Écarté: OG0028498.fa (1 séquences, 1 espèces)
Écarté: OG0025004.fa (1 séquences, 1 espèces)
Écarté: OG0030144.fa (1 séquences, 1 espèces)
Écarté: OG0011266.fa (10 séquences, 7 espèces)
Retenu: OG0007441.fa (29 séquences, 17 espèces)
Écarté: OG0064964.fa (1 séquences, 1 espèces)
Écarté: OG0030152.fa (1 séquences, 1 espèces)
Écarté: OG0043614.fa (1 séquences, 1 espèces)
Écarté: OG0026573.fa (1 séquences, 1 espèces)
Écarté: OG0059178.fa (1 séquences, 1 espèces)
Écarté: OG0029059.fa (1 séquences, 1 espèces)
Écarté: OG0040728.fa (1 séquences, 1 espèces)
Écarté: OG0005402.fa (37 séquences, 15 espèces)
Écarté: OG0063891.fa (1 séquences, 1 espèces)
Écarté: OG0032517.fa (1 séquences, 1 espèces)
Écarté: OG0057913.fa (1 séquences, 1 espèces)
Écarté: OG0057730.fa (1 séquences, 1 espèces)
Écarté: OG0070267.fa (1 séquences, 1 espèces)
Écarté: OG0041385.fa (1 séquences, 1 espèces)
Écarté: OG0061791.fa (1 séquences, 1 espèces)
Écarté: OG0063924.fa (1 séquences, 1 espèces)
Écarté: OG0026960.fa (1 séquences, 1 espèces)
Écarté: OG0025681.fa (1 séquences, 1 espèces)
Écarté: OG0064251.fa (1 séquences, 1 espèces)
Écarté: OG0047483.fa (1 séquences, 1 espèces)
Écarté: OG0050607.fa (1 séquences, 1 espèces)
Écarté: OG0025976.fa (1 séquences, 1 espèces)
Écarté: OG0073626.fa (1 séquences, 1 espèces)
Écarté: OG0041001.fa (1 séquences, 1 espèces)
Retenu: OG0009491.fa (21 séquences, 17 espèces)
Écarté: OG0044392.fa (1 séquences, 1 espèces)
Écarté: OG0031255.fa (1 séquences, 1 espèces)
Écarté: OG0003481.fa (52 séquences, 17 espèces)
Écarté: OG0033183.fa (1 séquences, 1 espèces)
Écarté: OG0004781.fa (41 séquences, 17 espèces)
Écarté: OG0039624.fa (1 séquences, 1 espèces)
Écarté: OG0045169.fa (1 séquences, 1 espèces)
Écarté: OG0056798.fa (1 séquences, 1 espèces)
Écarté: OG0057746.fa (1 séquences, 1 espèces)
Écarté: OG0011719.fa (9 séquences, 3 espèces)
Écarté: OG0072967.fa (1 séquences, 1 espèces)
Écarté: OG0020350.fa (2 séquences, 2 espèces)
Écarté: OG0014968.fa (4 séquences, 1 espèces)
Écarté: OG0062820.fa (1 séquences, 1 espèces)
Écarté: OG0029790.fa (1 séquences, 1 espèces)
Écarté: OG0043064.fa (1 séquences, 1 espèces)
Écarté: OG0070893.fa (1 séquences, 1 espèces)
Écarté: OG0061548.fa (1 séquences, 1 espèces)
Écarté: OG0047441.fa (1 séquences, 1 espèces)
Écarté: OG0062050.fa (1 séquences, 1 espèces)
Écarté: OG0010571.fa (14 séquences, 2 espèces)
Écarté: OG0020929.fa (2 séquences, 2 espèces)
Écarté: OG0044228.fa (1 séquences, 1 espèces)
Écarté: OG0022944.fa (2 séquences, 1 espèces)
Écarté: OG0027022.fa (1 séquences, 1 espèces)
Écarté: OG0038431.fa (1 séquences, 1 espèces)
Écarté: OG0030070.fa (1 séquences, 1 espèces)
Écarté: OG0022420.fa (2 séquences, 1 espèces)
Retenu: OG0007620.fa (29 séquences, 17 espèces)
Écarté: OG0009470.fa (21 séquences, 15 espèces)
Écarté: OG0047172.fa (1 séquences, 1 espèces)
Écarté: OG0042678.fa (1 séquences, 1 espèces)
Écarté: OG0064723.fa (1 séquences, 1 espèces)
Écarté: OG0036107.fa (1 séquences, 1 espèces)
Écarté: OG0044169.fa (1 séquences, 1 espèces)
Écarté: OG0043911.fa (1 séquences, 1 espèces)
Écarté: OG0023321.fa (2 séquences, 1 espèces)
Écarté: OG0064505.fa (1 séquences, 1 espèces)
Écarté: OG0018556.fa (2 séquences, 1 espèces)
Écarté: OG0029206.fa (1 séquences, 1 espèces)
Écarté: OG0052739.fa (1 séquences, 1 espèces)
Écarté: OG0019369.fa (2 séquences, 2 espèces)
Écarté: OG0009683.fa (20 séquences, 11 espèces)
Écarté: OG0017257.fa (3 séquences, 2 espèces)
Écarté: OG0044939.fa (1 séquences, 1 espèces)
Écarté: OG0001602.fa (92 séquences, 2 espèces)
Écarté: OG0056489.fa (1 séquences, 1 espèces)
Écarté: OG0070210.fa (1 séquences, 1 espèces)
Écarté: OG0031960.fa (1 séquences, 1 espèces)
Écarté: OG0059037.fa (1 séquences, 1 espèces)
Écarté: OG0012298.fa (7 séquences, 2 espèces)
Écarté: OG0068376.fa (1 séquences, 1 espèces)
Écarté: OG0071187.fa (1 séquences, 1 espèces)
Écarté: OG0002813.fa (61 séquences, 17 espèces)
Écarté: OG0053999.fa (1 séquences, 1 espèces)
Écarté: OG0041578.fa (1 séquences, 1 espèces)
Retenu: OG0007476.fa (29 séquences, 17 espèces)
Écarté: OG0011289.fa (10 séquences, 8 espèces)
Écarté: OG0003983.fa (47 séquences, 17 espèces)
Écarté: OG0000404.fa (226 séquences, 14 espèces)
Écarté: OG0046661.fa (1 séquences, 1 espèces)
Écarté: OG0044414.fa (1 séquences, 1 espèces)
Écarté: OG0063232.fa (1 séquences, 1 espèces)
Écarté: OG0005188.fa (38 séquences, 16 espèces)
Écarté: OG0036764.fa (1 séquences, 1 espèces)
Écarté: OG0011758.fa (9 séquences, 2 espèces)
Écarté: OG0027443.fa (1 séquences, 1 espèces)
Écarté: OG0015119.fa (4 séquences, 1 espèces)
Écarté: OG0024927.fa (1 séquences, 1 espèces)
Écarté: OG0055508.fa (1 séquences, 1 espèces)
Écarté: OG0050683.fa (1 séquences, 1 espèces)
Écarté: OG0029891.fa (1 séquences, 1 espèces)
Écarté: OG0002903.fa (60 séquences, 2 espèces)
Écarté: OG0011187.fa (11 séquences, 1 espèces)
Écarté: OG0047760.fa (1 séquences, 1 espèces)
Écarté: OG0015180.fa (4 séquences, 2 espèces)
Écarté: OG0043524.fa (1 séquences, 1 espèces)
Écarté: OG0038343.fa (1 séquences, 1 espèces)
Écarté: OG0002239.fa (72 séquences, 17 espèces)
Écarté: OG0012559.fa (7 séquences, 4 espèces)
Écarté: OG0006614.fa (32 séquences, 17 espèces)
Écarté: OG0013081.fa (6 séquences, 4 espèces)
Écarté: OG0034269.fa (1 séquences, 1 espèces)
Écarté: OG0043272.fa (1 séquences, 1 espèces)
Écarté: OG0071597.fa (1 séquences, 1 espèces)
Écarté: OG0000796.fa (148 séquences, 16 espèces)
Écarté: OG0059304.fa (1 séquences, 1 espèces)
Écarté: OG0001359.fa (103 séquences, 17 espèces)
Écarté: OG0004152.fa (46 séquences, 17 espèces)
Écarté: OG0037916.fa (1 séquences, 1 espèces)
Écarté: OG0046755.fa (1 séquences, 1 espèces)
Écarté: OG0063778.fa (1 séquences, 1 espèces)
Écarté: OG0053163.fa (1 séquences, 1 espèces)
Écarté: OG0071902.fa (1 séquences, 1 espèces)
Écarté: OG0064162.fa (1 séquences, 1 espèces)
Écarté: OG0042283.fa (1 séquences, 1 espèces)
Écarté: OG0029569.fa (1 séquences, 1 espèces)
Écarté: OG0026630.fa (1 séquences, 1 espèces)
Écarté: OG0034790.fa (1 séquences, 1 espèces)
Écarté: OG0039407.fa (1 séquences, 1 espèces)
Écarté: OG0017106.fa (3 séquences, 1 espèces)
Écarté: OG0044955.fa (1 séquences, 1 espèces)
Écarté: OG0006064.fa (34 séquences, 17 espèces)
Écarté: OG0062599.fa (1 séquences, 1 espèces)
Écarté: OG0003108.fa (57 séquences, 16 espèces)
Écarté: OG0039054.fa (1 séquences, 1 espèces)
Écarté: OG0029721.fa (1 séquences, 1 espèces)
Écarté: OG0012318.fa (7 séquences, 1 espèces)
Écarté: OG0018308.fa (3 séquences, 1 espèces)
Écarté: OG0040752.fa (1 séquences, 1 espèces)
Écarté: OG0028259.fa (1 séquences, 1 espèces)
Écarté: OG0068302.fa (1 séquences, 1 espèces)
Écarté: OG0033868.fa (1 séquences, 1 espèces)
Écarté: OG0020506.fa (2 séquences, 1 espèces)
Écarté: OG0023431.fa (2 séquences, 2 espèces)
Écarté: OG0073034.fa (1 séquences, 1 espèces)
Écarté: OG0068169.fa (1 séquences, 1 espèces)
Écarté: OG0037364.fa (1 séquences, 1 espèces)
Écarté: OG0010734.fa (13 séquences, 2 espèces)
Écarté: OG0037879.fa (1 séquences, 1 espèces)
Écarté: OG0069763.fa (1 séquences, 1 espèces)
Écarté: OG0057098.fa (1 séquences, 1 espèces)
Écarté: OG0025168.fa (1 séquences, 1 espèces)
Écarté: OG0040258.fa (1 séquences, 1 espèces)
Écarté: OG0035580.fa (1 séquences, 1 espèces)
Écarté: OG0022757.fa (2 séquences, 1 espèces)
Écarté: OG0030316.fa (1 séquences, 1 espèces)
Écarté: OG0015709.fa (4 séquences, 1 espèces)
Écarté: OG0004614.fa (42 séquences, 17 espèces)
Écarté: OG0045587.fa (1 séquences, 1 espèces)
Écarté: OG0017409.fa (3 séquences, 2 espèces)
Écarté: OG0004046.fa (47 séquences, 17 espèces)
Écarté: OG0043322.fa (1 séquences, 1 espèces)
Écarté: OG0030248.fa (1 séquences, 1 espèces)
Écarté: OG0064311.fa (1 séquences, 1 espèces)
Écarté: OG0050498.fa (1 séquences, 1 espèces)
Écarté: OG0019571.fa (2 séquences, 1 espèces)
Écarté: OG0005750.fa (36 séquences, 17 espèces)
Écarté: OG0067940.fa (1 séquences, 1 espèces)
Écarté: OG0073192.fa (1 séquences, 1 espèces)
Écarté: OG0069761.fa (1 séquences, 1 espèces)
Écarté: OG0055068.fa (1 séquences, 1 espèces)
Écarté: OG0069236.fa (1 séquences, 1 espèces)
Écarté: OG0058034.fa (1 séquences, 1 espèces)
Écarté: OG0032653.fa (1 séquences, 1 espèces)
Écarté: OG0058620.fa (1 séquences, 1 espèces)
Écarté: OG0073284.fa (1 séquences, 1 espèces)
Écarté: OG0056509.fa (1 séquences, 1 espèces)
Écarté: OG0048912.fa (1 séquences, 1 espèces)
Écarté: OG0066949.fa (1 séquences, 1 espèces)
Écarté: OG0027720.fa (1 séquences, 1 espèces)
Écarté: OG0045357.fa (1 séquences, 1 espèces)
Écarté: OG0003278.fa (55 séquences, 17 espèces)
Écarté: OG0028778.fa (1 séquences, 1 espèces)
Écarté: OG0047942.fa (1 séquences, 1 espèces)
Écarté: OG0043418.fa (1 séquences, 1 espèces)
Écarté: OG0001816.fa (84 séquences, 16 espèces)
Écarté: OG0069679.fa (1 séquences, 1 espèces)
Écarté: OG0064045.fa (1 séquences, 1 espèces)
Écarté: OG0071832.fa (1 séquences, 1 espèces)
Écarté: OG0063735.fa (1 séquences, 1 espèces)
Écarté: OG0020190.fa (2 séquences, 1 espèces)
Écarté: OG0049945.fa (1 séquences, 1 espèces)
Écarté: OG0053537.fa (1 séquences, 1 espèces)
Écarté: OG0018482.fa (3 séquences, 1 espèces)
Écarté: OG0028874.fa (1 séquences, 1 espèces)
Écarté: OG0005740.fa (36 séquences, 17 espèces)
Écarté: OG0053316.fa (1 séquences, 1 espèces)
Écarté: OG0030504.fa (1 séquences, 1 espèces)
Écarté: OG0067545.fa (1 séquences, 1 espèces)
Écarté: OG0062569.fa (1 séquences, 1 espèces)
Écarté: OG0051943.fa (1 séquences, 1 espèces)
Écarté: OG0004518.fa (43 séquences, 16 espèces)
Écarté: OG0043226.fa (1 séquences, 1 espèces)
Écarté: OG0063309.fa (1 séquences, 1 espèces)
Écarté: OG0067685.fa (1 séquences, 1 espèces)
Écarté: OG0007927.fa (28 séquences, 15 espèces)
Écarté: OG0006896.fa (31 séquences, 17 espèces)
Écarté: OG0034602.fa (1 séquences, 1 espèces)
Écarté: OG0043531.fa (1 séquences, 1 espèces)
Écarté: OG0053103.fa (1 séquences, 1 espèces)
Écarté: OG0044208.fa (1 séquences, 1 espèces)
Écarté: OG0006592.fa (32 séquences, 17 espèces)
Écarté: OG0007633.fa (29 séquences, 14 espèces)
Écarté: OG0012307.fa (7 séquences, 1 espèces)
Écarté: OG0064055.fa (1 séquences, 1 espèces)
Écarté: OG0055411.fa (1 séquences, 1 espèces)
Écarté: OG0042733.fa (1 séquences, 1 espèces)
Écarté: OG0052067.fa (1 séquences, 1 espèces)
Écarté: OG0003985.fa (47 séquences, 17 espèces)
Écarté: OG0047243.fa (1 séquences, 1 espèces)
Écarté: OG0029110.fa (1 séquences, 1 espèces)
Écarté: OG0051557.fa (1 séquences, 1 espèces)
Écarté: OG0050261.fa (1 séquences, 1 espèces)
Écarté: OG0018898.fa (2 séquences, 2 espèces)
Écarté: OG0053352.fa (1 séquences, 1 espèces)
Écarté: OG0030926.fa (1 séquences, 1 espèces)
Écarté: OG0051111.fa (1 séquences, 1 espèces)
Écarté: OG0027290.fa (1 séquences, 1 espèces)
Écarté: OG0071578.fa (1 séquences, 1 espèces)
Écarté: OG0034606.fa (1 séquences, 1 espèces)
Écarté: OG0023308.fa (2 séquences, 1 espèces)
Écarté: OG0002833.fa (60 séquences, 1 espèces)
Écarté: OG0070558.fa (1 séquences, 1 espèces)
Écarté: OG0008609.fa (25 séquences, 8 espèces)
Écarté: OG0040193.fa (1 séquences, 1 espèces)
Retenu: OG0008685.fa (25 séquences, 17 espèces)
Écarté: OG0038260.fa (1 séquences, 1 espèces)
Écarté: OG0027563.fa (1 séquences, 1 espèces)
Écarté: OG0044523.fa (1 séquences, 1 espèces)
Écarté: OG0063818.fa (1 séquences, 1 espèces)
Écarté: OG0010998.fa (11 séquences, 4 espèces)
Écarté: OG0043830.fa (1 séquences, 1 espèces)
Écarté: OG0005362.fa (37 séquences, 17 espèces)
Écarté: OG0014223.fa (5 séquences, 2 espèces)
Écarté: OG0059686.fa (1 séquences, 1 espèces)
Écarté: OG0073624.fa (1 séquences, 1 espèces)
Écarté: OG0054323.fa (1 séquences, 1 espèces)
Écarté: OG0068713.fa (1 séquences, 1 espèces)
Écarté: OG0066166.fa (1 séquences, 1 espèces)
Écarté: OG0072607.fa (1 séquences, 1 espèces)
Écarté: OG0069138.fa (1 séquences, 1 espèces)
Retenu: OG0007182.fa (30 séquences, 17 espèces)
Écarté: OG0039064.fa (1 séquences, 1 espèces)
Écarté: OG0018018.fa (3 séquences, 1 espèces)
Écarté: OG0011376.fa (10 séquences, 4 espèces)
Écarté: OG0061604.fa (1 séquences, 1 espèces)
Écarté: OG0038601.fa (1 séquences, 1 espèces)
Écarté: OG0017482.fa (3 séquences, 1 espèces)
Écarté: OG0028191.fa (1 séquences, 1 espèces)
Écarté: OG0070757.fa (1 séquences, 1 espèces)
Écarté: OG0047835.fa (1 séquences, 1 espèces)
Écarté: OG0065232.fa (1 séquences, 1 espèces)
Écarté: OG0048991.fa (1 séquences, 1 espèces)
Écarté: OG0023152.fa (2 séquences, 2 espèces)
Écarté: OG0013133.fa (6 séquences, 4 espèces)
Écarté: OG0043700.fa (1 séquences, 1 espèces)
Écarté: OG0037224.fa (1 séquences, 1 espèces)
Écarté: OG0036150.fa (1 séquences, 1 espèces)
Écarté: OG0001691.fa (88 séquences, 16 espèces)
Écarté: OG0036091.fa (1 séquences, 1 espèces)
Écarté: OG0014183.fa (5 séquences, 1 espèces)
Écarté: OG0029258.fa (1 séquences, 1 espèces)
Écarté: OG0028499.fa (1 séquences, 1 espèces)
Écarté: OG0022836.fa (2 séquences, 1 espèces)
Écarté: OG0042171.fa (1 séquences, 1 espèces)
Écarté: OG0000308.fa (263 séquences, 17 espèces)
Écarté: OG0015306.fa (4 séquences, 3 espèces)
Écarté: OG0018416.fa (3 séquences, 1 espèces)
Écarté: OG0056201.fa (1 séquences, 1 espèces)
Retenu: OG0007690.fa (28 séquences, 17 espèces)
Écarté: OG0044483.fa (1 séquences, 1 espèces)
Écarté: OG0040323.fa (1 séquences, 1 espèces)
Écarté: OG0036372.fa (1 séquences, 1 espèces)
Écarté: OG0017164.fa (3 séquences, 2 espèces)
Écarté: OG0070174.fa (1 séquences, 1 espèces)
Écarté: OG0039527.fa (1 séquences, 1 espèces)
Écarté: OG0001698.fa (88 séquences, 17 espèces)
Écarté: OG0007448.fa (29 séquences, 12 espèces)
Écarté: OG0003356.fa (54 séquences, 16 espèces)
Écarté: OG0066214.fa (1 séquences, 1 espèces)
Écarté: OG0000333.fa (254 séquences, 16 espèces)
Écarté: OG0067854.fa (1 séquences, 1 espèces)
Écarté: OG0016989.fa (3 séquences, 1 espèces)
Écarté: OG0026661.fa (1 séquences, 1 espèces)
Écarté: OG0019409.fa (2 séquences, 1 espèces)
Écarté: OG0062855.fa (1 séquences, 1 espèces)
Écarté: OG0047782.fa (1 séquences, 1 espèces)
Écarté: OG0016236.fa (3 séquences, 1 espèces)
Écarté: OG0017212.fa (3 séquences, 2 espèces)
Écarté: OG0010700.fa (13 séquences, 4 espèces)
Écarté: OG0053280.fa (1 séquences, 1 espèces)
Écarté: OG0032857.fa (1 séquences, 1 espèces)
Écarté: OG0066785.fa (1 séquences, 1 espèces)
Écarté: OG0053187.fa (1 séquences, 1 espèces)
Écarté: OG0048078.fa (1 séquences, 1 espèces)
Écarté: OG0030498.fa (1 séquences, 1 espèces)
Écarté: OG0026329.fa (1 séquences, 1 espèces)
Écarté: OG0024848.fa (1 séquences, 1 espèces)
Écarté: OG0001351.fa (103 séquences, 17 espèces)
Écarté: OG0036501.fa (1 séquences, 1 espèces)
Écarté: OG0048166.fa (1 séquences, 1 espèces)
Écarté: OG0066219.fa (1 séquences, 1 espèces)
Écarté: OG0060413.fa (1 séquences, 1 espèces)
Écarté: OG0036440.fa (1 séquences, 1 espèces)
Écarté: OG0022235.fa (2 séquences, 1 espèces)
Écarté: OG0006399.fa (33 séquences, 15 espèces)
Écarté: OG0007363.fa (30 séquences, 11 espèces)
Écarté: OG0047478.fa (1 séquences, 1 espèces)
Écarté: OG0009197.fa (23 séquences, 14 espèces)
Écarté: OG0036859.fa (1 séquences, 1 espèces)
Écarté: OG0024270.fa (2 séquences, 1 espèces)
Écarté: OG0015374.fa (4 séquences, 2 espèces)
Écarté: OG0022171.fa (2 séquences, 1 espèces)
Écarté: OG0004149.fa (46 séquences, 16 espèces)
Écarté: OG0032122.fa (1 séquences, 1 espèces)
Écarté: OG0002307.fa (70 séquences, 16 espèces)
Écarté: OG0017226.fa (3 séquences, 2 espèces)
Écarté: OG0049684.fa (1 séquences, 1 espèces)
Écarté: OG0050059.fa (1 séquences, 1 espèces)
Écarté: OG0026451.fa (1 séquences, 1 espèces)
Écarté: OG0068736.fa (1 séquences, 1 espèces)
Écarté: OG0063834.fa (1 séquences, 1 espèces)
Écarté: OG0043757.fa (1 séquences, 1 espèces)
Écarté: OG0058614.fa (1 séquences, 1 espèces)
Écarté: OG0043941.fa (1 séquences, 1 espèces)
Écarté: OG0039296.fa (1 séquences, 1 espèces)
Écarté: OG0051591.fa (1 séquences, 1 espèces)
Écarté: OG0051993.fa (1 séquences, 1 espèces)
Écarté: OG0060023.fa (1 séquences, 1 espèces)
Écarté: OG0041504.fa (1 séquences, 1 espèces)
Écarté: OG0008607.fa (25 séquences, 16 espèces)
Écarté: OG0003723.fa (50 séquences, 16 espèces)
Écarté: OG0036255.fa (1 séquences, 1 espèces)
Écarté: OG0053368.fa (1 séquences, 1 espèces)
Écarté: OG0035131.fa (1 séquences, 1 espèces)
Écarté: OG0047344.fa (1 séquences, 1 espèces)
Écarté: OG0036459.fa (1 séquences, 1 espèces)
Écarté: OG0061291.fa (1 séquences, 1 espèces)
Écarté: OG0026403.fa (1 séquences, 1 espèces)
Écarté: OG0045801.fa (1 séquences, 1 espèces)
Écarté: OG0059313.fa (1 séquences, 1 espèces)
Écarté: OG0061769.fa (1 séquences, 1 espèces)
Écarté: OG0040674.fa (1 séquences, 1 espèces)
Écarté: OG0051087.fa (1 séquences, 1 espèces)
Écarté: OG0010208.fa (16 séquences, 4 espèces)
Écarté: OG0027382.fa (1 séquences, 1 espèces)
Écarté: OG0069192.fa (1 séquences, 1 espèces)
Écarté: OG0014516.fa (4 séquences, 1 espèces)
Écarté: OG0036334.fa (1 séquences, 1 espèces)
Écarté: OG0023438.fa (2 séquences, 1 espèces)
Écarté: OG0066909.fa (1 séquences, 1 espèces)
Écarté: OG0005246.fa (38 séquences, 15 espèces)
Écarté: OG0048095.fa (1 séquences, 1 espèces)
Écarté: OG0040598.fa (1 séquences, 1 espèces)
Écarté: OG0018879.fa (2 séquences, 1 espèces)
Écarté: OG0044144.fa (1 séquences, 1 espèces)
Écarté: OG0071060.fa (1 séquences, 1 espèces)
Écarté: OG0047529.fa (1 séquences, 1 espèces)
Écarté: OG0062452.fa (1 séquences, 1 espèces)
Écarté: OG0064307.fa (1 séquences, 1 espèces)
Écarté: OG0051213.fa (1 séquences, 1 espèces)
Écarté: OG0067825.fa (1 séquences, 1 espèces)
Écarté: OG0040590.fa (1 séquences, 1 espèces)
Écarté: OG0068164.fa (1 séquences, 1 espèces)
Écarté: OG0031247.fa (1 séquences, 1 espèces)
Écarté: OG0030871.fa (1 séquences, 1 espèces)
Écarté: OG0048003.fa (1 séquences, 1 espèces)
Écarté: OG0046633.fa (1 séquences, 1 espèces)
Écarté: OG0041717.fa (1 séquences, 1 espèces)
Écarté: OG0017680.fa (3 séquences, 1 espèces)
Écarté: OG0026261.fa (1 séquences, 1 espèces)
Écarté: OG0067395.fa (1 séquences, 1 espèces)
Écarté: OG0049520.fa (1 séquences, 1 espèces)
Écarté: OG0039477.fa (1 séquences, 1 espèces)
Écarté: OG0022259.fa (2 séquences, 1 espèces)
Écarté: OG0027348.fa (1 séquences, 1 espèces)
Écarté: OG0000660.fa (168 séquences, 4 espèces)
Écarté: OG0032200.fa (1 séquences, 1 espèces)
Écarté: OG0052077.fa (1 séquences, 1 espèces)
Écarté: OG0011038.fa (11 séquences, 7 espèces)
Écarté: OG0070602.fa (1 séquences, 1 espèces)
Écarté: OG0070477.fa (1 séquences, 1 espèces)
Écarté: OG0041802.fa (1 séquences, 1 espèces)
Écarté: OG0072269.fa (1 séquences, 1 espèces)
Écarté: OG0073221.fa (1 séquences, 1 espèces)
Écarté: OG0054703.fa (1 séquences, 1 espèces)
Écarté: OG0016011.fa (3 séquences, 2 espèces)
Écarté: OG0072464.fa (1 séquences, 1 espèces)
Écarté: OG0053100.fa (1 séquences, 1 espèces)
Écarté: OG0073277.fa (1 séquences, 1 espèces)
Écarté: OG0069990.fa (1 séquences, 1 espèces)
Écarté: OG0066679.fa (1 séquences, 1 espèces)
Écarté: OG0055990.fa (1 séquences, 1 espèces)
Écarté: OG0047780.fa (1 séquences, 1 espèces)
Écarté: OG0058336.fa (1 séquences, 1 espèces)
Écarté: OG0062184.fa (1 séquences, 1 espèces)
Écarté: OG0021680.fa (2 séquences, 2 espèces)
Écarté: OG0028476.fa (1 séquences, 1 espèces)
Écarté: OG0039865.fa (1 séquences, 1 espèces)
Écarté: OG0001764.fa (86 séquences, 16 espèces)
Écarté: OG0017070.fa (3 séquences, 2 espèces)
Écarté: OG0011165.fa (11 séquences, 1 espèces)
Écarté: OG0033205.fa (1 séquences, 1 espèces)
Écarté: OG0041387.fa (1 séquences, 1 espèces)
Écarté: OG0021469.fa (2 séquences, 1 espèces)
Écarté: OG0041844.fa (1 séquences, 1 espèces)
Écarté: OG0041044.fa (1 séquences, 1 espèces)
Écarté: OG0038290.fa (1 séquences, 1 espèces)
Écarté: OG0042633.fa (1 séquences, 1 espèces)
Écarté: OG0059238.fa (1 séquences, 1 espèces)
Écarté: OG0056912.fa (1 séquences, 1 espèces)
Écarté: OG0027955.fa (1 séquences, 1 espèces)
Écarté: OG0028125.fa (1 séquences, 1 espèces)
Écarté: OG0036065.fa (1 séquences, 1 espèces)
Écarté: OG0056927.fa (1 séquences, 1 espèces)
Écarté: OG0070227.fa (1 séquences, 1 espèces)
Écarté: OG0067270.fa (1 séquences, 1 espèces)
Écarté: OG0045889.fa (1 séquences, 1 espèces)
Écarté: OG0058222.fa (1 séquences, 1 espèces)
Écarté: OG0052473.fa (1 séquences, 1 espèces)
Écarté: OG0038434.fa (1 séquences, 1 espèces)
Écarté: OG0004583.fa (42 séquences, 14 espèces)
Écarté: OG0028434.fa (1 séquences, 1 espèces)
Écarté: OG0003988.fa (47 séquences, 16 espèces)
Écarté: OG0002341.fa (69 séquences, 17 espèces)
Écarté: OG0049741.fa (1 séquences, 1 espèces)
Écarté: OG0022503.fa (2 séquences, 1 espèces)
Retenu: OG0008802.fa (24 séquences, 17 espèces)
Écarté: OG0026056.fa (1 séquences, 1 espèces)
Écarté: OG0072679.fa (1 séquences, 1 espèces)
Écarté: OG0020306.fa (2 séquences, 2 espèces)
Écarté: OG0031718.fa (1 séquences, 1 espèces)
Écarté: OG0049794.fa (1 séquences, 1 espèces)
Écarté: OG0030554.fa (1 séquences, 1 espèces)
Écarté: OG0024318.fa (2 séquences, 1 espèces)
Écarté: OG0071751.fa (1 séquences, 1 espèces)
Écarté: OG0020095.fa (2 séquences, 2 espèces)
